3:  [INFO] SCORE: 0.9823201
6:  [INFO] SCORE: 0.99572655
9:  [INFO] SCORE: 0.9999726443
12:  [INFO] SCORE: 0.99360586
15:  [INFO] SCORE: 0.9675767
18:  [INFO] SCORE: 0.9887297
21:  [INFO] SCORE: 0.99886486
24:  [INFO] SCORE: 0.999199533
27:  [INFO] SCORE: 0.999412276
30:  [INFO] SCORE: 0.9613811
33:  [INFO] SCORE: 0.9873312
36:  [INFO] SCORE: 0.99777455
39:  [INFO] SCORE: 0.99611713
42:  [INFO] SCORE: 0.9896842
45:  [INFO] SCORE: 0.9999744761
48:  [INFO] SCORE: 0.9928803
51:  [INFO] SCORE: 0.9825241
54:  [INFO] SCORE: 0.99789428
57:  [INFO] SCORE: 0.99404595
60:  [INFO] SCORE: 0.99999312333
63:  [INFO] SCORE: 0.99073384
66:  [INFO] SCORE: 0.99098537
69:  [INFO] SCORE: 0.9708742
72:  [INFO] SCORE: 0.99694712
75:  [INFO] SCORE: 0.9880136
78:  [INFO] SCORE: 0.99176981
81:  [INFO] SCORE: 0.999673384
84:  [INFO] SCORE: 0.9909082
87:  [INFO] SCORE: 0.99206639
90:  [INFO] SCORE: 0.96864
93:  [INFO] SCORE: 0.9696292
96:  [INFO] SCORE: 0.9882008
99:  [INFO] SCORE: 0.9835167
102:  [INFO] SCORE: 0.99109689
105:  [INFO] SCORE: 0.99111934
108:  [INFO] SCORE: 0.9817629
111:  [INFO] SCORE: 0.99483594
114:  [INFO] SCORE: 0.99235646
117:  [INFO] SCORE: 0.99033944
120:  [INFO] SCORE: 0.99525236
123:  [INFO] SCORE: 0.9850392
126:  [INFO] SCORE: 0.99320367
129:  [INFO] SCORE: 0.99871675
132:  [INFO] SCORE: 0.99314447
135:  [INFO] SCORE: 0.9887234
138:  [INFO] SCORE: 0.9904105
141:  [INFO] SCORE: 0.9976346
144:  [INFO] SCORE: 0.9633216
147:  [INFO] SCORE: 0.9849259
150:  [INFO] SCORE: 0.99246507
153:  [INFO] SCORE: 0.9447443
156:  [INFO] SCORE: 0.999659943
159:  [INFO] SCORE: 0.9847949
162:  [INFO] SCORE: 0.99713791
165:  [INFO] SCORE: 0.99474597
168:  [INFO] SCORE: 1.0
171:  [INFO] SCORE: 0.99741847
174:  [INFO] SCORE: 0.99242801
177:  [INFO] SCORE: 0.99748189
180:  [INFO] SCORE: 0.99697126
183:  [INFO] SCORE: 0.955054
186:  [INFO] SCORE: 0.99789873
189:  [INFO] SCORE: 0.99134287
192:  [INFO] SCORE: 0.99999132568
195:  [INFO] SCORE: 0.999847789
198:  [INFO] SCORE: 0.99170429
201:  [INFO] SCORE: 0.99240684
204:  [INFO] SCORE: 0.99529693
207:  [INFO] SCORE: 0.9889016
210:  [INFO] SCORE: 0.99584064
213:  [INFO] SCORE: 0.99821032
216:  [INFO] SCORE: 0.999040362
219:  [INFO] SCORE: 0.9488502
222:  [INFO] SCORE: 0.9987121
225:  [INFO] SCORE: 0.99807007
228:  [INFO] SCORE: 0.99810047
231:  [INFO] SCORE: 0.99646783
234:  [INFO] SCORE: 0.99555879
237:  [INFO] SCORE: 0.99999481742
240:  [INFO] SCORE: 0.99750932
243:  [INFO] SCORE: 0.99352793
246:  [INFO] SCORE: 0.99859264
249:  [INFO] SCORE: 0.9999526857
252:  [INFO] SCORE: 0.9836454
255:  [INFO] SCORE: 0.996138
258:  [INFO] SCORE: 0.9975299
261:  [INFO] SCORE: 0.99656739
264:  [INFO] SCORE: 0.99875421
267:  [INFO] SCORE: 0.99916022
270:  [INFO] SCORE: 0.99508368
273:  [INFO] SCORE: 0.99852733
276:  [INFO] SCORE: 0.99599223
279:  [INFO] SCORE: 0.99201675
282:  [INFO] SCORE: 0.999408957
285:  [INFO] SCORE: 0.9697606
288:  [INFO] SCORE: 0.99380464
291:  [INFO] SCORE: 0.9771776
294:  [INFO] SCORE: 0.99866109
297:  [INFO] SCORE: 0.999779645
300:  [INFO] SCORE: 0.999812526
303:  [INFO] SCORE: 0.976051
306:  [INFO] SCORE: 0.9887091
309:  [INFO] SCORE: 0.999999969123
312:  [INFO] SCORE: 0.99771038
315:  [INFO] SCORE: 0.99652985
318:  [INFO] SCORE: 0.9849107
321:  [INFO] SCORE: 0.999053179
324:  [INFO] SCORE: 0.99258061
327:  [INFO] SCORE: 0.99999741709
330:  [INFO] SCORE: 0.9853648
333:  [INFO] SCORE: 0.9727641
336:  [INFO] SCORE: 0.999547398
339:  [INFO] SCORE: 0.9999057877
342:  [INFO] SCORE: 0.986896
345:  [INFO] SCORE: 0.99134044
348:  [INFO] SCORE: 0.99798542
351:  [INFO] SCORE: 0.99757686
354:  [INFO] SCORE: 0.99487521
357:  [INFO] SCORE: 1.0
360:  [INFO] SCORE: 0.982417
363:  [INFO] SCORE: 0.99746557
366:  [INFO] SCORE: 0.99382976
369:  [INFO] SCORE: 0.99622072
372:  [INFO] SCORE: 0.99796711
375:  [INFO] SCORE: 0.9835276
378:  [INFO] SCORE: 0.99763096
381:  [INFO] SCORE: 0.99753993
384:  [INFO] SCORE: 0.9850807
387:  [INFO] SCORE: 0.99614905
390:  [INFO] SCORE: 0.999442493
393:  [INFO] SCORE: 0.9842671
396:  [INFO] SCORE: 0.99605247
399:  [INFO] SCORE: 0.99689588
402:  [INFO] SCORE: 0.869055
405:  [INFO] SCORE: 0.9799414
408:  [INFO] SCORE: 0.9947378
411:  [INFO] SCORE: 0.987325
414:  [INFO] SCORE: 0.983741
417:  [INFO] SCORE: 0.99120524
420:  [INFO] SCORE: 0.9857466
423:  [INFO] SCORE: 0.99665887
426:  [INFO] SCORE: 0.974034
429:  [INFO] SCORE: 0.99814485
432:  [INFO] SCORE: 0.9881041
435:  [INFO] SCORE: 0.99281164
438:  [INFO] SCORE: 0.99879884
441:  [INFO] SCORE: 0.99860684
444:  [INFO] SCORE: 0.99594793
447:  [INFO] SCORE: 0.99999341659
450:  [INFO] SCORE: 0.9938669
453:  [INFO] SCORE: 0.9940899
456:  [INFO] SCORE: 0.99887192
459:  [INFO] SCORE: 0.99633552
462:  [INFO] SCORE: 0.99798714
465:  [INFO] SCORE: 0.9649714
468:  [INFO] SCORE: 0.99450615
471:  [INFO] SCORE: 0.99999609637
474:  [INFO] SCORE: 0.99710419
477:  [INFO] SCORE: 0.99814151
480:  [INFO] SCORE: 0.99770197
483:  [INFO] SCORE: 0.99578576
486:  [INFO] SCORE: 0.99357204
489:  [INFO] SCORE: 0.9846286
492:  [INFO] SCORE: 0.999847372
495:  [INFO] SCORE: 0.999001477
498:  [INFO] SCORE: 0.99037465
501:  [INFO] SCORE: 0.9877319
504:  [INFO] SCORE: 0.99519273
507:  [INFO] SCORE: 0.99709731
510:  [INFO] SCORE: 0.9852423
513:  [INFO] SCORE: 0.99885798
516:  [INFO] SCORE: 0.99017088
519:  [INFO] SCORE: 0.999153031
522:  [INFO] SCORE: 0.99845554
525:  [INFO] SCORE: 0.9863475
528:  [INFO] SCORE: 0.99015274
531:  [INFO] SCORE: 0.9430072
534:  [INFO] SCORE: 0.9895389
537:  [INFO] SCORE: 0.99827427
540:  [INFO] SCORE: 0.99053111
543:  [INFO] SCORE: 0.999358091
546:  [INFO] SCORE: 0.9407301
549:  [INFO] SCORE: 0.9845155
552:  [INFO] SCORE: 0.9858962
555:  [INFO] SCORE: 0.99797248
558:  [INFO] SCORE: 0.99242416
561:  [INFO] SCORE: 0.999855598
564:  [INFO] SCORE: 0.99454728
567:  [INFO] SCORE: 0.99832161
570:  [INFO] SCORE: 0.9899198
573:  [INFO] SCORE: 0.9889948
